

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,15/02/2017 16:50,SX,$1974.6,,($790.00),$9440.00,,($820.00),1.78%,-46.75%,$0.00,$0.00
71,Sell Short,17/02/2017 02:05,SE,$1978.9,$0.00,1,$220.00,0.11%,$230.00,25.56%,,$0.00,$0.00
,Buy to Cover,17/02/2017 16:50,SX,$1976.7,,$220.00,$9660.00,,($670.00),98.89%,24.44%,$0.00,$0.00
72,Buy,20/02/2017 02:35,LE,$1976.5,$0.00,1,($250.00),-0.13%,$420.00,62.69%,,$0.00,$0.00
,Sell,21/02/2017 03:45,SE,$1974.0,,($250.00),$9410.00,,($250.00),0.00%,-37.31%,$0.00,$0.00
73,Sell Short,21/02/2017 03:45,SE,$1974.0,$0.00,1,($320.00),-0.16%,$670.00,51.15%,,$0.00,$0.00
,Buy to Cover,21/02/2017 16:50,SX,$1977.2,,($320.00),$9090.00,,($640.00),24.43%,-24.43%,$0.00,$0.00
74,Sell Short,23/02/2017 01:15,SE,$1977.2,$0.00,1,($1340.00),-0.68%,$30.00,1.90%,,$0.00,$0.00
,Buy to Cover,23/02/2017 16:50,SX,$1990.6,,($1340.00),$7750.00,,($1550.00),13.29%,-84.81%,$0.00,$0.00
75,Sell Short,27/02/2017 02:45,SE,$1997.2,$0.00,1,$320.00,0.16%,$520.00,38.81%,,$0.00,$0.00
,Buy to Cover,27/02/2017 16:50,SX,$1994.0,,$320.00,$8070.00,,($820.00),85.07%,23.88%,$0.00,$0.00
76,Sell Short,07/03/2017 02:10,SE,$1965.2,$0.00,1,$910.00,0.46%,$1060.00,86.89%,,$0.00,$0.00
,Buy to Cover,07/03/2017 16:50,SX,$1956.1,,$910.00,$8980.00,,($160.00),87.70%,74.59%,$0.00,$0.00
77,Sell Short,14/03/2017 02:20,SE,$1942.0,$0.00,1,$320.00,0.16%,$460.00,43.40%,,$0.00,$0.00
,Buy to Cover,14/03/2017 16:50,SX,$1938.8,,$320.00,$9300.00,,($600.00),86.79%,30.19%,$0.00,$0.00
